                                       List of indexes
 Schema |              Name              |     Type     |     Table     | Primary? | Unique? 
--------+--------------------------------+--------------+---------------+----------+---------
 dbo    |                                | HEAP         | actor         | "NO"     | "NO" 
 dbo    | idx_actor_last_name            | NONCLUSTERED | actor         | "NO"     | "NO" 
 dbo    | PK__actor__8B2447B51A553357    | NONCLUSTERED | actor         | "YES"    | "YES" 
 dbo    |                                | HEAP         | address       | "NO"     | "NO" 
 dbo    | idx_fk_city_id                 | NONCLUSTERED | address       | "NO"     | "NO" 
 dbo    | PK__address__CAA247C921009CD8  | NONCLUSTERED | address       | "YES"    | "YES" 
 dbo    |                                | HEAP         | category      | "NO"     | "NO" 
 dbo    | PK__category__D54EE9B51E44A5BE | NONCLUSTERED | category      | "YES"    | "YES" 
 dbo    |                                | HEAP         | city          | "NO"     | "NO" 
 dbo    | idx_fk_country_id              | NONCLUSTERED | city          | "NO"     | "NO" 
 dbo    | PK__city__031491A905AA0627     | NONCLUSTERED | city          | "YES"    | "YES" 
 dbo    |                                | HEAP         | country       | "NO"     | "NO" 
 dbo    | PK__country__7E8CD054B2E7D046  | NONCLUSTERED | country       | "YES"    | "YES" 
 dbo    |                                | HEAP         | customer      | "NO"     | "NO" 
 dbo    | idx_fk_address_id              | NONCLUSTERED | customer      | "NO"     | "NO" 
 dbo    | idx_fk_store_id                | NONCLUSTERED | customer      | "NO"     | "NO" 
 dbo    | idx_last_name                  | NONCLUSTERED | customer      | "NO"     | "NO" 
 dbo    | PK__customer__CD65CB84483FBC5F | NONCLUSTERED | customer      | "YES"    | "YES" 
 dbo    |                                | HEAP         | film          | "NO"     | "NO" 
 dbo    | idx_fk_language_id             | NONCLUSTERED | film          | "NO"     | "NO" 
 dbo    | idx_fk_original_language_id    | NONCLUSTERED | film          | "NO"     | "NO" 
 dbo    | PK__film__349764A80984B3B6     | NONCLUSTERED | film          | "YES"    | "YES" 
 dbo    |                                | HEAP         | film_actor    | "NO"     | "NO" 
 dbo    | idx_fk_film_actor_actor        | NONCLUSTERED | film_actor    | "NO"     | "NO" 
 dbo    | idx_fk_film_actor_film         | NONCLUSTERED | film_actor    | "NO"     | "NO" 
 dbo    | PK__film_act__086D31FF21306015 | NONCLUSTERED | film_actor    | "YES"    | "YES" 
 dbo    |                                | HEAP         | film_category | "NO"     | "NO" 
 dbo    | idx_fk_film_category_category  | NONCLUSTERED | film_category | "NO"     | "NO" 
 dbo    | idx_fk_film_category_film      | NONCLUSTERED | film_category | "NO"     | "NO" 
 dbo    | PK__film_cat__69C38A334140182A | NONCLUSTERED | film_category | "YES"    | "YES" 
 dbo    |                                | HEAP         | film_text     | "NO"     | "NO" 
 dbo    | PK__film_tex__349764A84645D2D1 | NONCLUSTERED | film_text     | "YES"    | "YES" 
 dbo    |                                | HEAP         | inventory     | "NO"     | "NO" 
 dbo    | idx_fk_film_id                 | NONCLUSTERED | inventory     | "NO"     | "NO" 
 dbo    | idx_fk_film_id_store_id        | NONCLUSTERED | inventory     | "NO"     | "NO" 
 dbo    | PK__inventor__B59ACC48A2B58348 | NONCLUSTERED | inventory     | "YES"    | "YES" 
 dbo    |                                | HEAP         | language      | "NO"     | "NO" 
 dbo    | PK__language__804CF6B2FC687D9E | NONCLUSTERED | language      | "YES"    | "YES" 
 dbo    |                                | HEAP         | payment       | "NO"     | "NO" 
 dbo    | idx_fk_customer_id             | NONCLUSTERED | payment       | "NO"     | "NO" 
 dbo    | idx_fk_staff_id                | NONCLUSTERED | payment       | "NO"     | "NO" 
 dbo    | PK__payment__ED1FC9EBDB270795  | NONCLUSTERED | payment       | "YES"    | "YES" 
 dbo    |                                | HEAP         | rental        | "NO"     | "NO" 
 dbo    | idx_fk_customer_id             | NONCLUSTERED | rental        | "NO"     | "NO" 
 dbo    | idx_fk_inventory_id            | NONCLUSTERED | rental        | "NO"     | "NO" 
 dbo    | idx_fk_staff_id                | NONCLUSTERED | rental        | "NO"     | "NO" 
 dbo    | idx_uq                         | NONCLUSTERED | rental        | "YES"    | "NO" 
 dbo    | PK__rental__67DB611A9A923E3E   | NONCLUSTERED | rental        | "YES"    | "YES" 
 dbo    |                                | HEAP         | staff         | "NO"     | "NO" 
 dbo    | idx_fk_address_id              | NONCLUSTERED | staff         | "NO"     | "NO" 
 dbo    | idx_fk_store_id                | NONCLUSTERED | staff         | "NO"     | "NO" 
 dbo    | PK__staff__1963DD9D5544C9C7    | NONCLUSTERED | staff         | "YES"    | "YES" 
 dbo    |                                | HEAP         | store         | "NO"     | "NO" 
 dbo    | idx_fk_address_id              | NONCLUSTERED | store         | "YES"    | "NO" 
 dbo    | idx_fk_store_address           | NONCLUSTERED | store         | "NO"     | "NO" 
 dbo    | PK__store__A2F2A30D41E572BA    | NONCLUSTERED | store         | "YES"    | "YES" 
(56 rows)

